scenario,policy,benchmark,placement_tag,repeat,thread_slot,thread_tid,thread_pid,total_runtime_ms,ccd0_pct,ccd1_pct,ccd2_pct,ccd3_pct,other_pct,core_pct_map
busy-cores,same-chiplet,pr,taskset-14-20,4,master,50593,50593,3177.568000,0.00,0.00,100.00,0.00,0.00,14:100.00
busy-cores,same-chiplet,pr,taskset-14-20,4,worker-1,50697,50593,3181.835000,0.00,0.00,100.00,0.00,0.00,15:100.00
busy-cores,same-chiplet,pr,taskset-14-20,4,worker-2,50698,50593,3411.512000,0.00,0.00,100.00,0.00,0.00,16:100.00
busy-cores,same-chiplet,pr,taskset-14-20,5,master,50889,50889,3648.363000,0.00,0.00,100.00,0.00,0.00,14:100.00
busy-cores,same-chiplet,pr,taskset-14-20,5,worker-1,50891,50889,4287.418000,0.00,0.00,100.00,0.00,0.00,15:100.00
busy-cores,same-chiplet,pr,taskset-14-20,5,worker-2,50892,50889,3449.626000,0.00,0.00,100.00,0.00,0.00,16:100.00
busy-cores,same-chiplet,pr,taskset-21-27,1,master,51347,51347,4167.698000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,pr,taskset-21-27,1,worker-1,51349,51347,3974.162000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,pr,taskset-21-27,1,worker-2,51350,51347,4028.911000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,pr,taskset-21-27,2,master,51643,51643,3980.109000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,pr,taskset-21-27,2,worker-1,51645,51643,3822.911000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,pr,taskset-21-27,2,worker-2,51646,51643,3943.904000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,pr,taskset-21-27,3,master,51963,51963,4085.741000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,pr,taskset-21-27,3,worker-1,51965,51963,3993.101000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,pr,taskset-21-27,3,worker-2,51966,51963,4008.981000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,pr,taskset-21-27,4,master,52144,52144,4317.417000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,pr,taskset-21-27,4,worker-1,52146,52144,4020.784000,0.00,0.00,0.00,100.00,0.00,22:100.00
