scenario,policy,benchmark,placement_tag,placement_detail,omp_threads,repeat,trial_time_s,perf_sched_status,perf_sched_trace_path,perf_sched_cpus
free-cores,eevdf,cc,,,3,1,0.041410,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__cc__r1__perf.timehist.log,"4,20,27"
free-cores,eevdf,cc,,,3,2,0.040380,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__cc__r2__perf.timehist.log,"4,20,25"
free-cores,eevdf,cc,,,3,3,0.041310,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__cc__r3__perf.timehist.log,"4,20,27"
free-cores,eevdf,cc,,,3,4,0.042790,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__cc__r4__perf.timehist.log,"4,20,27"
free-cores,eevdf,cc,,,3,5,0.041350,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__cc__r5__perf.timehist.log,"4,6,20,27"
free-cores,optimal,cc,,,3,1,0.029210,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__cc__r1__perf.timehist.log,"4,5,6,132"
free-cores,optimal,cc,,,3,2,0.028980,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__cc__r2__perf.timehist.log,"4,5,6,125"
free-cores,optimal,cc,,,3,3,0.028360,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__cc__r3__perf.timehist.log,"4,5,6,125"
free-cores,optimal,cc,,,3,4,0.030160,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__cc__r4__perf.timehist.log,"4,5,6,118"
free-cores,optimal,cc,,,3,5,0.030640,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__cc__r5__perf.timehist.log,"4,5,6,118"
free-cores,same-chiplet,cc,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,1,0.030440,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-11-12-13__r1__perf.timehist.log,"11,12,13,112"
free-cores,same-chiplet,cc,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,2,0.031600,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-11-12-13__r2__perf.timehist.log,"11,12,13,125"
free-cores,same-chiplet,cc,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,3,0.030840,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-11-12-13__r3__perf.timehist.log,"11,12,13,125"
free-cores,same-chiplet,cc,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,4,0.030850,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-11-12-13__r4__perf.timehist.log,"11,12,13,118"
free-cores,same-chiplet,cc,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,5,0.029620,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-11-12-13__r5__perf.timehist.log,"11,12,13,118"
free-cores,same-chiplet,cc,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,1,0.030800,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-18-19-20__r1__perf.timehist.log,"18,19,20,118"
free-cores,same-chiplet,cc,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,2,0.032560,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-18-19-20__r2__perf.timehist.log,"18,19,20,118"
free-cores,same-chiplet,cc,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,3,0.031280,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-18-19-20__r3__perf.timehist.log,"18,19,20,125"
free-cores,same-chiplet,cc,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,4,0.031990,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-18-19-20__r4__perf.timehist.log,"18,19,20,125"
free-cores,same-chiplet,cc,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,5,0.031080,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__cc__cores-18-19-20__r5__perf.timehist.log,"18,19,20,112"
